CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
51.466.860/0001-56;2024-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;4.02.03;Variação cambial de contratos de financiamentos (Trade Finance);128075.0000000000;N
51.466.860/0001-56;2024-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;4.02.04;Contratos de Swap;0.0000000000;N
51.466.860/0001-56;2024-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;4.02.04;Contratos de Swap;0.0000000000;N
51.466.860/0001-56;2024-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;4.02.05;Tributos diferidos sobre os itens acima;15198.0000000000;N
51.466.860/0001-56;2024-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;4.02.05;Tributos diferidos sobre os itens acima;-32883.0000000000;N
51.466.860/0001-56;2024-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;4.03;Resultado Abrangente do Período;986241.0000000000;S
51.466.860/0001-56;2024-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;4.03;Resultado Abrangente do Período;1540110.0000000000;S
64.904.295/0001-03;2024-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2022-03-01;2023-02-28;4.01;Lucro Líquido do Período;353421.0000000000;S
64.904.295/0001-03;2024-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2023-03-01;2024-02-28;4.01;Lucro Líquido do Período;360337.0000000000;S
64.904.295/0001-03;2024-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2022-03-01;2023-02-28;4.02;Outros Resultados Abrangentes;-7452.0000000000;S
64.904.295/0001-03;2024-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2023-03-01;2024-02-28;4.02;Outros Resultados Abrangentes;-89638.0000000000;S
64.904.295/0001-03;2024-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2022-03-01;2023-02-28;4.03;Resultado Abrangente do Período;345969.0000000000;S
64.904.295/0001-03;2024-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2023-03-01;2024-02-28;4.03;Resultado Abrangente do Período;270699.0000000000;S
88.613.658/0001-10;2024-06-30;1;PETTENATI S.A. INDUSTRIA TEXTIL;009539;DF Individual - Demonstração de Resultado Abrangente;REAL;UNIDADE;PENÚLTIMO;2022-07-01;2023-06-30;4.01;Lucro Líquido do Período;48997920.0000000000;S
88.613.658/0001-10;2024-06-30;1;PETTENATI S.A. INDUSTRIA TEXTIL;009539;DF Individual - Demonstração de Resultado Abrangente;REAL;UNIDADE;ÚLTIMO;2023-07-01;2024-06-30;4.01;Lucro Líquido do Período;19210788.0000000000;S
88.613.658/0001-10;2024-06-30;1;PETTENATI S.A. INDUSTRIA TEXTIL;009539;DF Individual - Demonstração de Resultado Abrangente;REAL;UNIDADE;PENÚLTIMO;2022-07-01;2023-06-30;4.02;Outros Resultados Abrangentes;-14870157.0000000000;S
88.613.658/0001-10;2024-06-30;1;PETTENATI S.A. INDUSTRIA TEXTIL;009539;DF Individual - Demonstração de Resultado Abrangente;REAL;UNIDADE;ÚLTIMO;2023-07-01;2024-06-30;4.02;Outros Resultados Abrangentes;28503266.0000000000;S
88.613.658/0001-10;2024-06-30;1;PETTENATI S.A. INDUSTRIA TEXTIL;009539;DF Individual - Demonstração de Resultado Abrangente;REAL;UNIDADE;PENÚLTIMO;2022-07-01;2023-06-30;4.03;Resultado Abrangente do Período;34127763.0000000000;S
88.613.658/0001-10;2024-06-30;1;PETTENATI S.A. INDUSTRIA TEXTIL;009539;DF Individual - Demonstração de Resultado Abrangente;REAL;UNIDADE;ÚLTIMO;2023-07-01;2024-06-30;4.03;Resultado Abrangente do Período;47714054.0000000000;S
