CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
09.146.451/0001-06;2021-12-31;1;KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.;105293;0;105293;0;0;0
09.149.503/0001-06;2021-12-31;1;SERENA GERAÇÃO S.A.;200315405;0;200315405;41000;0;41000
09.229.201/0001-30;2021-12-31;1;GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;667490790;0;667490790;0;0;0
09.257.877/0001-37;2021-12-31;1;FERROVIA NORTE SUL S/A;1835966791;0;1835966791;0;0;0
09.267.996/0001-70;2021-12-31;1;YUNY INCORPORADORA HOLDING S.A.;40728856;0;40728856;0;0;0
09.288.252/0001-32;2021-12-31;1;ANIMA HOLDING S.A.;403868805;0;403868805;10407060;0;10407060
09.295.063/0001-97;2021-12-31;1;TECHNOS S.A.;78506215;0;78506215;4980646;0;4980646
09.304.427/0001-58;2021-12-31;1;HABITASEC SECURITIZADORA SA;500000;0;500000;0;0;0
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;928965058;333680010;1262645068;0;384529;384529
09.313.969/0001-97;2021-12-31;1;AUTOPISTA LITORAL SUL;1275560876;0;1275560876;0;0;0
09.324.949/0001-11;2021-12-31;1;AUTOPISTA FLUMINENSE SA;658918293;0;658918293;0;0;0
09.325.109/0001-73;2021-12-31;1;AUTOPISTA PLANALTO SUL SA;1721076;0;1721076;0;0;0
09.326.342/0001-70;2021-12-31;1;AUTOPISTA FERNÃO DIAS SA;2284105562;0;2284105562;0;0;0
09.336.431/0001-06;2021-12-31;1;AUTOPISTA REGIS BITTENCOURT SA;666255515;0;666255515;0;0;0
09.346.601/0001-25;2021-12-31;1;B3 S.A. - BRASIL, BOLSA, BALCÃO;6126000000;0;6126000000;52938633;0;52938633
09.347.516/0001-81;2021-12-31;1;ELETROMIDIA S.A.;139144748;0;139144748;0;0;0
09.359.927/0001-97;2021-12-31;1;ASA BRANCA HOLDING S.A.;130277255;0;130277255;0;0;0
09.391.823/0001-60;2021-12-31;1;SANTO ANTONIO ENERGIA S.A.;10000452329;0;10000452329;0;0;0
09.414.761/0001-64;2021-12-31;2;K-INFRA RODOVIA DO AÇO S.A.;438327;0;438327;0;0;0
09.527.023/0001-23;2021-12-31;1;ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.;216000000;0;216000000;0;0;0
09.538.973/0001-53;2021-12-31;1;PDG COMPANHIA SECURITIZADORA;36292;0;36292;0;0;0
09.584.854/0001-37;2021-12-31;1;MANAUS TRANSMISSORA DE ENERGIA S.A;1115333123;0;1115333123;0;0;0
09.611.768/0001-76;2021-12-31;3;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;86885350;0;86885350;0;0;0
09.625.321/0001-56;2021-12-31;1;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;1687300000;0;1687300000;0;0;0
09.813.204/0001-16;2021-12-31;1;W2W E-COMMERCE DE VINHOS S.A.;86540918;0;86540918;0;0;0
10.139.870/0001-08;2021-12-31;1;NEOGRID PARTICIPAÇÕES S.A.;238662330;0;238662330;1926891;0;1926891
10.215.988/0001-60;2021-12-31;1;COMPANHIA DE LOCAÇÃO DAS AMÉRICAS;508729411;0;508729411;1992492;0;1992492
10.234.027/0001-00;2021-12-31;1;LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA S/A;667013209;0;667013209;0;0;0
10.240.186/0001-00;2021-12-31;1;LINHAS DE XINGU TRANSMISSORA DE ENERGIA S/A;632529095;0;632529095;0;0;0
10.285.590/0001-08;2021-12-31;1;GRUPO DE MODA SOMA S.A.;784747373;0;784747373;0;0;0
10.319.900/0001-50;2021-12-31;1;CICLUS AMBIENTAL RIO S/A;60000273;0;60000273;0;0;0
10.324.624/0001-18;2021-12-31;1;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.;1613694012;0;1613694012;0;0;0
10.338.320/0001-00;2021-12-31;1;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;63085;0;63085;0;0;0
10.440.482/0001-54;2021-12-31;1;GETNET ADQ E SERV PARA MEIOS DE PAGTO S.A. - INST PAGTO;916003725;0;916003725;0;0;0
10.452.416/0001-02;2021-12-31;1;REAG CAPITAL HOLDING S.A.;30536;0;30536;0;0;0
10.464.223/0001-63;2021-12-31;1;PRIVALIA BRASIL S.A.;87137724;0;87137724;0;0;0
10.488.244/0001-19;2021-12-31;1;INFRASEC SECURITIZADORA S.A.;10000;0;10000;0;0;0
10.502.676/0001-37;2021-12-31;1;TERMELÉTRICA PERNAMBUCO III S.A.;26162998;0;26162998;0;0;0
10.531.501/0001-58;2021-12-31;1;CONC AUTO RAPOSO TAVARES S.A.;5728629;5728629;11457258;0;0;0
10.571.175/0001-02;2021-12-31;1;URBA DESENVOLVIMENTO URBANO S.A.;143628;0;143628;336;0;336
10.608.405/0001-60;2021-12-31;1;BARI SECURITIZADORA S.A.;2750000;0;2750000;0;0;0
10.629.105/0001-68;2021-12-31;1;PRIO S.A.;878330845;0;878330845;39077565;0;39077565
